2016-12-21 11:11:05.552 INFO  DefaultFactory Logging to 'D:\Projects\Git\docs.particular.net\samples\routing\custom\Core_6\Billing\bin\Debug\' with level Info
2016-12-21 11:11:05.764 INFO  NServiceBus.LicenseManager License expires on 4/24/2017 12:00:00 AM
2016-12-21 11:11:09.942 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'SVEACORP\se-vahmoha-01' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "SVEACORP\se-vahmoha-01" /add
2016-12-21 11:11:10.163 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:11:10.399 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:11:10.626 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:11:10.818 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:11:18.251 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Shipping with instances [Samples.CustomRouting.Shipping;machine:SE-DEVPC1028]
2016-12-21 11:11:18.257 INFO  RoutingInfoSubscriber Added route for PlaceOrder to [Samples.CustomRouting.Sales]
2016-12-21 11:11:18.261 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Sales with instances [Samples.CustomRouting.Sales;machine:SE-DEVPC1028;queue:Samples.CustomRouting.Sales-1]
2016-12-21 11:11:18.266 INFO  RoutingInfoSubscriber Added Samples.CustomRouting.Sales as publisher of OrderAccepted.
2016-12-21 11:11:18.270 INFO  RoutingInfoSubscriber Added instances [Samples.CustomRouting.Sales;machine:SE-DEVPC1028;queue:Samples.CustomRouting.Sales-2] to endpoint Samples.CustomRouting.Sales
2016-12-21 11:11:18.274 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Client with instances [Samples.CustomRouting.Client;machine:SE-DEVPC1028]
2016-12-21 11:28:37.209 INFO  DefaultFactory Logging to 'D:\Projects\Git\docs.particular.net\samples\routing\custom\Core_6\Billing\bin\Debug\' with level Info
2016-12-21 11:28:37.386 INFO  NServiceBus.LicenseManager License expires on 4/24/2017 12:00:00 AM
2016-12-21 11:28:42.625 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'SVEACORP\se-vahmoha-01' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "SVEACORP\se-vahmoha-01" /add
2016-12-21 11:28:42.857 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:28:42.982 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:28:43.084 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:28:43.122 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-21 11:28:50.305 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Client with instances [Samples.CustomRouting.Client;machine:SE-DEVPC1028]
2016-12-21 11:28:50.320 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Shipping with instances [Samples.CustomRouting.Shipping;machine:SE-DEVPC1028]
2016-12-21 11:28:50.331 INFO  RoutingInfoSubscriber Added route for PlaceOrder to [Samples.CustomRouting.Sales]
2016-12-21 11:28:50.334 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Sales with instances [Samples.CustomRouting.Sales;machine:SE-DEVPC1028;queue:Samples.CustomRouting.Sales-2]
2016-12-21 11:28:50.340 INFO  RoutingInfoSubscriber Added Samples.CustomRouting.Sales as publisher of OrderAccepted.
2016-12-21 11:28:50.346 INFO  RoutingInfoSubscriber Added instances [Samples.CustomRouting.Sales;machine:SE-DEVPC1028;queue:Samples.CustomRouting.Sales-1] to endpoint Samples.CustomRouting.Sales
